filename,regulator,ref_no,title,url,document_date,size_kb,status,error,downloaded_on
CBN_FPR_DIR_PUB_CIR_002_009_Review_of_Minimum_Capital_Requirements_for_6db5d404.pdf,CBN,FPR/DIR/PUB/CIR/002/009,"Review of Minimum Capital Requirements for Commercial, Merchant and Non-Interest Banks in Nigeria",https://www.cbn.gov.ng/OUT/2024/CCD/RECAPITALIZATION_MARCH_2024.PDF,28/03/2024,221.2,already present,,2026-09-22
CBN_BSD_DIR_PUB_14_063_Guidelines_on_Regulatory_Capital_9bb6ceda.pdf,CBN,BSD/DIR/PUB/14/063,Guidelines on Regulatory Capital,https://www.cbn.gov.ng/OUT/2021/BSD/1.%20GUIDELINES%20ON%20REGULATORY%20CAPITAL.PDF,02/09/2021,537.8,downloaded,,2026-09-22
CBN_BSD_DIR_PUB_14_063_Guidelines_on_Liquidity_Risk_Management_and_Int_891ea04b.pdf,CBN,BSD/DIR/PUB/14/063,Guidelines on Liquidity Risk Management and Internal Liquidity Adequacy Assessment Process (ILAAP),https://www.cbn.gov.ng/OUT/2021/BSD/6.%20GUIDELINES%20ON%20LIQUIDITY%20RISK%20MANAGEMENT%20AND%20ILAAP.PDF,02/09/2021,268.8,downloaded,,2026-09-22
CBN_FPR_DIR_PUB_CIR_001_078_Corporate_Governance_Guidelines_for_Commer_6cb3880e.pdf,CBN,FPR/DIR/PUB/CIR/001/078,"Corporate Governance Guidelines for Commercial Banks, Merchant, Non-Interest and Payment Service Banks and Financial Holding Companies in Nigeria",https://www.cbn.gov.ng/OUT/2023/FPRD/CIRCULAR%20AND%20GUIDELINES%20FOR%20CORPORATE%20GOVERNANCE.PDF,14/07/2023,1309.9,downloaded,,2026-09-22
CBN_BSD_DIR_PUB_LAB_017_008_Central_Bank_of_Nigeria_Risk_Based_Cyberse_b5101996.pdf,CBN,BSD/DIR/PUB/LAB/017/008,Central Bank of Nigeria Risk-Based Cybersecurity Framework and Guidelines for Deposit Money Banks and Payment Service Banks,https://www.cbn.gov.ng/OUT/2024/BSD/CBN%20RISK-BASED%20CYBERSECURITY%20FRAMEWORK%20FOR%20DMBS%20AND%20PSBS_2024.PDF,31/05/2024,1030.0,downloaded,,2026-09-22
CBN_BSD_DIR_PUB_LAB_019_002_Issuance_of_Baseline_Standards_for_Automat_aec5c7d4.pdf,CBN,BSD/DIR/PUB/LAB/019/002,Issuance of Baseline Standards for Automated Anti-Money Laundering (AML) Solution for Financial Institutions in Nigeria,https://www.cbn.gov.ng/OUT/2026/CCD/CBN%20ISSUES%20BASELINE%20STANDARDS%20FOR%20AUTOMATED%20ANTI-MONEY%20LAUNDERING%20SOLUTION.PDF,10/03/2026,411.8,downloaded,,2026-09-22
CBN_FPR_DIR_GEN_CIR_001_061_Guidelines_for_Licensing_of_Banks_and_Othe_71bcaefb.pdf,CBN,FPR/DIR/GEN/CIR/001/061,Guidelines for Licensing of Banks and Other Financial Institutions in Nigeria on Anti-Money Laundering Combatting the Financing of...,https://www.cbn.gov.ng/OUT/2022/FPRD/CIRCULAR_AND_AML_LICENSING_GUIDELINE.PDF,23/11/2022,490.6,downloaded,,2026-09-22
CBN_FPR_DIR_PUB_CIR_002_002_Additional_Know_Your_Customer_Requirement__a217d1eb.pdf,CBN,FPR/DIR/PUB/CIR/002/002,Additional Know Your Customer Requirement in Respect of Non-Profit Organizations,https://www.cbn.gov.ng/OUT/2023/FPRD/ADDITIONAL%20KNOW%20YOUR%20CUSTOMER%20REQUIREMENT%20IN%20RESPECT%20OF%20NON-PROFIT%20ORGANIZATIONS.PDF,08/12/2023,211.4,downloaded,,2026-09-22
CBN_FPR_DIR_PUB_CIR_001_014_RE_GUIDELINES_ON_MANAGEMENT_OF_DORMANT_ACC_db017e43.pdf,CBN,FPR/DIR/PUB/CIR/001/014,"RE: GUIDELINES ON MANAGEMENT OF DORMANT ACCOUNTS, UNCLAIMED BALANCES AND OTHER FINANCIAL ASSETS IN BANKS AND OTHER FINANCIAL INSTITUTIONS IN NIGERIA",https://www.cbn.gov.ng/OUT/2026/FPRD/DORMANT%20CIRCULAR.PDF,12/03/2026,728.7,downloaded,,2026-09-22
CBN_BSD_DIR_PUB_LAB_017_003_Re_Impact_of_Recent_Policy_Reforms_Prudent_2500189a.pdf,CBN,BSD/DIR/PUB/LAB/017/003,Re: Impact of Recent Policy Reforms-Prudential Guidance to the Banking Sector,https://www.cbn.gov.ng/OUT/2024/CCD/RE%20IMPACT%20OF%20RECENT%20POLICY%20REFORMS-PRUDENTIAL%20GUIDANCE%20TO%20THE%20BANKING%20SECTOR.PDF,14/03/2024,187.1,downloaded,,2026-09-22
